tech_id,tech_name,tag,details_html,sources,source_label,source_url,tier,year,time_key,category,sub,abatement_bt
afolu_ar,Afforestation / Reforestation & managed land CDR,CDR,"<b>Meaning:</b> Annual net CO2 removal on managed land (incl. afforestation/reforestation; median across scenarios ≤2°C), 2035 via linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,low,2035,y2035,Agriculture & Land,Land use & Forestry,1.39
afolu_ar,Afforestation / Reforestation & managed land CDR,CDR,"<b>Meaning:</b> Annual net CO2 removal on managed land (incl. afforestation/reforestation; median across scenarios ≤2°C), 2035 via linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,high,2035,y2035,Agriculture & Land,Land use & Forestry,1.39
afolu_ar,Afforestation / Reforestation & managed land CDR,CDR,"<b>Meaning:</b> Annual net CO2 removal on managed land (incl. afforestation/reforestation; median across scenarios ≤2°C), 2035 via linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,low,2050,y2050,Agriculture & Land,Land use & Forestry,2.98
afolu_ar,Afforestation / Reforestation & managed land CDR,CDR,"<b>Meaning:</b> Annual net CO2 removal on managed land (incl. afforestation/reforestation; median across scenarios ≤2°C), 2035 via linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,high,2050,y2050,Agriculture & Land,Land use & Forestry,2.98
afolu_ar,Afforestation / Reforestation & managed land CDR,CDR,"<b>Meaning:</b> Annual net CO2 removal on managed land (incl. afforestation/reforestation; median across scenarios ≤2°C), 2035 via linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,low,2100,ypost,Agriculture & Land,Land use & Forestry,252
afolu_ar,Afforestation / Reforestation & managed land CDR,CDR,"<b>Meaning:</b> Annual net CO2 removal on managed land (incl. afforestation/reforestation; median across scenarios ≤2°C), 2035 via linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,high,2100,ypost,Agriculture & Land,Land use & Forestry,252
beccs,BECCS (bioenergy + CCS),CDR,"<b>Meaning:</b> Annual CO2 removal via BECCS (median across scenarios limiting warming to ≤2°C), with 2035 estimated by linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,low,2035,y2035,Power & Heat,Coal,0.545675
beccs,BECCS (bioenergy + CCS),CDR,"<b>Meaning:</b> Annual CO2 removal via BECCS (median across scenarios limiting warming to ≤2°C), with 2035 estimated by linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,high,2035,y2035,Power & Heat,Coal,0.545675
beccs,BECCS (bioenergy + CCS),CDR,"<b>Meaning:</b> Annual CO2 removal via BECCS (median across scenarios limiting warming to ≤2°C), with 2035 estimated by linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,low,2050,y2050,Power & Heat,Coal,2.0075
beccs,BECCS (bioenergy + CCS),CDR,"<b>Meaning:</b> Annual CO2 removal via BECCS (median across scenarios limiting warming to ≤2°C), with 2035 estimated by linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,high,2050,y2050,Power & Heat,Coal,2.0075
beccs,BECCS (bioenergy + CCS),CDR,"<b>Meaning:</b> Annual CO2 removal via BECCS (median across scenarios limiting warming to ≤2°C), with 2035 estimated by linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,low,2100,ypost,Power & Heat,Coal,239.44
beccs,BECCS (bioenergy + CCS),CDR,"<b>Meaning:</b> Annual CO2 removal via BECCS (median across scenarios limiting warming to ≤2°C), with 2035 estimated by linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,high,2100,ypost,Power & Heat,Coal,239.44
beccs,BECCS (bioenergy + CCS),CDR,"<b>Meaning:</b> Annual CO2 removal via BECCS (median across scenarios limiting warming to ≤2°C), with 2035 estimated by linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,low,2035,y2035,Power & Heat,Natural Gas,0.16445
beccs,BECCS (bioenergy + CCS),CDR,"<b>Meaning:</b> Annual CO2 removal via BECCS (median across scenarios limiting warming to ≤2°C), with 2035 estimated by linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,high,2035,y2035,Power & Heat,Natural Gas,0.16445
beccs,BECCS (bioenergy + CCS),CDR,"<b>Meaning:</b> Annual CO2 removal via BECCS (median across scenarios limiting warming to ≤2°C), with 2035 estimated by linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,low,2050,y2050,Power & Heat,Natural Gas,0.605
beccs,BECCS (bioenergy + CCS),CDR,"<b>Meaning:</b> Annual CO2 removal via BECCS (median across scenarios limiting warming to ≤2°C), with 2035 estimated by linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,high,2050,y2050,Power & Heat,Natural Gas,0.605
beccs,BECCS (bioenergy + CCS),CDR,"<b>Meaning:</b> Annual CO2 removal via BECCS (median across scenarios limiting warming to ≤2°C), with 2035 estimated by linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,low,2100,ypost,Power & Heat,Natural Gas,72.16
beccs,BECCS (bioenergy + CCS),CDR,"<b>Meaning:</b> Annual CO2 removal via BECCS (median across scenarios limiting warming to ≤2°C), with 2035 estimated by linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,high,2100,ypost,Power & Heat,Natural Gas,72.16
beccs,BECCS (bioenergy + CCS),CDR,"<b>Meaning:</b> Annual CO2 removal via BECCS (median across scenarios limiting warming to ≤2°C), with 2035 estimated by linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,low,2035,y2035,Power & Heat,Oil,0.037375
beccs,BECCS (bioenergy + CCS),CDR,"<b>Meaning:</b> Annual CO2 removal via BECCS (median across scenarios limiting warming to ≤2°C), with 2035 estimated by linear interpolation between IPCC 2030 and 2050 medians; <b>Post-2050</b> uses cumulative 2020–2100 median (GtCO2).",IPCC AR6 WG3 Technical Summary / Chapter 12 (CDR volumes; medians and 5–95% ranges),IPCC AR6 WG3,https://www.ipcc.ch/report/ar6/wg3/chapter/technical-summary/,high,2035,y2035,Power & Heat,Oil,0.037375
